City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,17.05000000000001,89,100,4.12,US,1712892966
1,port lincoln,-34.7333,135.8667,16.439999999999998,57,32,4.48,AU,1712892819
2,stanley,54.868,-1.6985,11.010000000000048,86,75,4.63,GB,1712892817
3,albany,42.6001,-73.9662,15.850000000000023,82,100,3.58,US,1712892816
4,grytviken,-54.2811,-36.5092,-0.7099999999999795,74,25,4.64,GS,1712893037
5,port hueneme,34.1478,-119.1951,21.55000000000001,86,100,3.6,US,1712893079
6,iqaluit,63.7506,-68.5145,-6.149999999999977,79,75,6.17,CA,1712893076
7,dwarka,22.2394,68.9678,26.28000000000003,70,8,1.18,IN,1712893079
8,jurilovca,44.7667,28.8667,16.05000000000001,73,14,6.56,RO,1712893079
9,invercargill,-46.4,168.35,10.010000000000048,79,90,2.68,NZ,1712892995
10,blackmans bay,-43.0167,147.3167,18.07000000000005,76,93,3.08,AU,1712893027
11,pandan,14.0453,124.1694,28.180000000000007,78,35,4.35,PH,1712893080
12,west island,-12.1568,96.8225,28.99000000000001,74,40,4.12,CC,1712892827
13,sao joao da barra,-21.6403,-41.0511,24.760000000000048,85,10,1.11,BR,1712893080
14,carnarvon,-24.8667,113.6333,26.439999999999998,47,0,3.2,AU,1712892857
15,juan griego,11.0817,-63.9655,25.970000000000027,84,2,4.78,VE,1712893080
16,abqaiq,25.9371,49.6776,24.660000000000025,31,53,2.7,SA,1712893081
17,hasaki,35.7333,140.8333,17.939999999999998,83,100,4.9,JP,1712892843
18,avarua,-21.2078,-159.775,28.03000000000003,89,75,9.26,CK,1712892798
19,bredasdorp,-34.5322,20.0403,12.220000000000027,79,34,2.78,ZA,1712893081
20,papatowai,-46.5619,169.4708,9.270000000000039,67,85,2.18,NZ,1712892793
21,port-aux-francais,-49.35,70.2167,6.0400000000000205,88,100,7.42,TF,1712892813
22,tuzha,57.6062,47.936,7.189999999999998,79,100,4.35,RU,1712893082
23,klyuchi,52.2667,79.1667,0.11000000000001364,42,4,1.57,RU,1712893083
24,edinburgh of the seven seas,-37.0676,-12.3116,18.78000000000003,92,36,8.1,SH,1712892813
25,susuman,62.7833,148.1667,-5.009999999999991,78,43,1.79,RU,1712892812
26,maamba,-17.3667,27.15,19.77000000000004,97,98,2.59,ZM,1712893083
27,olonkinbyen,70.9221,-8.7187,-7.159999999999968,89,100,9.25,SJ,1712893079
28,jamestown,42.097,-79.2353,15.57000000000005,99,100,3.09,US,1712893084
29,anadyr,64.75,177.4833,-7.71999999999997,78,6,8.0,RU,1712892920
30,waitangi,-43.9535,-176.5597,17.680000000000007,92,97,4.02,NZ,1712892831
31,pedernales,18.0384,-71.744,27.340000000000032,68,21,1.51,DO,1712893085
32,labrador city,52.9463,-66.9114,2.8799999999999955,58,100,5.66,CA,1712893085
33,longyearbyen,78.2186,15.6401,-15.089999999999975,66,40,1.54,SJ,1712893039
34,tolanaro,-25.0319,46.9987,23.04000000000002,88,40,5.14,MG,1712893085
35,adamstown,-25.066,-130.1015,21.82000000000005,52,40,6.07,PN,1712893085
36,warwick,41.7001,-71.4162,15.960000000000036,90,100,7.72,US,1712892918
37,grants,35.1473,-107.8514,11.129999999999995,20,0,2.57,US,1712893086
38,vorgashor,67.5833,63.95,-6.21999999999997,95,100,6.24,RU,1712893086
39,talnakh,69.4865,88.3972,-24.329999999999984,96,94,5.04,RU,1712892850
40,krasnyye baki,57.131,45.1599,7.82000000000005,73,100,4.07,RU,1712893086
41,aginskoye,51.1,114.53,12.080000000000041,24,48,0.21,RU,1712893087
